No.,title,first_submission_date,venue,source_tag,entry_type,trust_note
1,A Deployable Embodied Vision-Language Navigation System with Hierarchical Cognition and Context-Aware Exploration,2026-04-23,arXiv preprint,arxiv-search,real-world-vln-paper,trusted
2,LiveVLN: Breaking the Stop-and-Go Loop in Vision-Language Navigation,2026-04-21,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
3,DeCoNav: Dialog enhanced Long-Horizon Collaborative Vision-Language Navigation,2026-04-14,arXiv preprint,arxiv-search,dialog-paper,trusted
4,Vision-Language Navigation for Aerial Robots: Towards the Era of Large Language Models,2026-04-09,arXiv preprint,arxiv-search,survey,trusted secondary
5,Stop Wandering: Efficient Vision-Language Navigation via Metacognitive Reasoning,2026-04-02,arXiv preprint,arxiv-search,direct-vln-paper,trusted
6,Structured Observation Language for Efficient and Generalizable Vision-Language Navigation,2026-03-29,arXiv preprint,arxiv-search,direct-vln-paper,trusted
7,DyGeoVLN: Infusing Dynamic Geometry Foundation Model into Vision-Language Navigation,2026-03-22,arXiv preprint,arxiv-search,foundation-model-paper,trusted
8,Does Peer Observation Help? Vision-Sharing Collaboration for Vision-Language Navigation,2026-03-21,arXiv preprint,arxiv-search,collaborative-vln-paper,trusted
9,A comprehensive review of recent advancements in vision-and-language navigation,2026-03-21*,journal review,survey-citation,survey,trusted secondary; journal date used temporarily because no arXiv preprint is confirmed yet
10,Trajectory-Diversity-Driven Robust Vision-and-Language Navigation,2026-03-16,arXiv preprint,arxiv-search,direct-vln-paper,trusted
11,OnFly: Onboard Zero-Shot Aerial Vision-Language Navigation toward Safety and Efficiency,2026-03-11,arXiv preprint,arxiv-search,aerial-vln-paper,trusted
12,Let's Reward Step-by-Step: Step-Aware Contrastive Alignment for Vision-Language Navigation in Continuous Environments,2026-03-10,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
13,ViSA-Enhanced Aerial VLN: A Visual-Spatial Reasoning Enhanced Framework for Aerial Vision-Language Navigation,2026-03-09,arXiv preprint,arxiv-search,aerial-vln-paper,trusted
14,PROSPECT: Unified Streaming Vision-Language Navigation via Semantic--Spatial Fusion and Latent Predictive Representation,2026-03-04,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
15,TagaVLM: Topology-Aware Global Action Reasoning for Vision-Language Navigation,2026-03-03,arXiv preprint,arxiv-search,direct-vln-paper,trusted
16,Learning to Retrieve Navigable Candidates for Efficient Vision-and-Language Navigation,2026-02-17,arXiv preprint,arxiv-search,direct-vln-paper,trusted
17,pFedNavi: Structure-Aware Personalized Federated Vision-Language Navigation for Embodied AI,2026-02-16,arXiv preprint,arxiv-search,federated-vln-paper,trusted
18,LCLA: Language-Conditioned Latent Alignment for Vision-Language Navigation,2026-02-07,arXiv preprint,arxiv-search,direct-vln-paper,trusted
19,MapDream: Task-Driven Map Learning for Vision-Language Navigation,2026-01-30,arXiv preprint,arxiv-search,map-memory-paper,trusted
20,Dynamic Topology Awareness: Breaking the Granularity Rigidity in Vision-Language Navigation,2026-01-29,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
21,DV-VLN: Dual Verification for Reliable LLM-Based Vision-and-Language Navigation,2026-01-26,arXiv preprint,targeted-audit,llm-era-paper,trusted
22,ETP-R1: Evolving Topological Planning with Reinforcement Fine-tuning for Vision-Language Navigation in Continuous Environments,2025-12-24,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
23,"VLNVerse: A Benchmark for Vision-Language Navigation with Versatile, Embodied, Realistic Simulation and Evaluation",2025-12-22,arXiv preprint,arxiv-search,benchmark-paper,trusted
24,Embodied4C: Measuring What Matters for Embodied Vision-Language Navigation,2025-12-19,arXiv preprint,arxiv-search,evaluation-paper,trusted
25,Efficient-VLN: A Training-Efficient Vision-Language Navigation Model,2025-12-11,arXiv preprint,arxiv-search,direct-vln-paper,trusted
26,"Ground Slow, Move Fast: A Dual-System Foundation Model for Generalizable Vision-and-Language Navigation",2025-12-09,OpenReview / ICLR 2026 submission,targeted-audit,llm-era-paper,trusted
27,"Aerial Vision-Language Navigation with a Unified Framework for Spatial, Temporal and Embodied Reasoning",2025-12-09,arXiv preprint,arxiv-search,aerial-vln-paper,trusted
28,MDE-AgriVLN: Agricultural Vision-and-Language Navigation with Monocular Depth Estimation,2025-12-03,arXiv preprint,arxiv-search,agricultural-vln-paper,trusted secondary
29,OpenVLN: Open-world aerial Vision-Language Navigation,2025-11-09,arXiv preprint,arxiv-search,aerial-vln-paper,trusted
30,LaViRA: Language-Vision-Robot Actions Translation for Zero-Shot Vision Language Navigation in Continuous Environments,2025-10-22,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
31,SUM-AgriVLN: Spatial Understanding Memory for Agricultural Vision-and-Language Navigation,2025-10-16,arXiv preprint,arxiv-search,agricultural-vln-paper,trusted secondary
32,Disentangling Foreground and Background for vision-Language Navigation via Online Augmentation,2025-10-01,arXiv preprint,arxiv-search,data-centric-paper,trusted
33,Landmark-Guided Knowledge for Vision-and-Language Navigation,2025-09-30,arXiv preprint,arxiv-search,direct-vln-paper,trusted
34,Vision-and-Language Navigation with Analogical Textual Descriptions in LLMs,2025-09-29,arXiv preprint,arxiv-search,llm-era-paper,trusted
35,Learning Goal-Oriented Vision-and-Language Navigation with Self-Improving Demonstrations at Scale,2025-09-29,arXiv preprint,arxiv-search,goal-oriented-vln-paper,trusted
36,JanusVLN: Decoupling Semantics and Spatiality with Dual Implicit Memory for Vision-Language Navigation,2025-09-26,arXiv preprint,arxiv-search,memory-paper,trusted
37,Boosting Zero-Shot VLN via Abstract Obstacle Map-Based Waypoint Prediction with TopoGraph-and-VisitInfo-Aware Prompting,2025-09-24,arXiv preprint,arxiv-search,zero-shot-vln-paper,trusted
38,VLN-Zero: Rapid Exploration and Cache-Enabled Neurosymbolic Vision-Language Planning for Zero-Shot Transfer in Robot Navigation,2025-09-23,arXiv preprint,arxiv-search,foundation-model-paper,trusted
39,AeroDuo: Aerial Duo for UAV-based Vision and Language Navigation,2025-08-21,arXiv preprint,arxiv-search,aerial-vln-paper,trusted
40,DAgger Diffusion Navigation: DAgger Boosted Diffusion Policy for Vision-Language Navigation,2025-08-13,arXiv preprint,arxiv-search,direct-vln-paper,trusted
41,AgriVLN: Vision-and-Language Navigation for Agricultural Robots,2025-08-10,arXiv preprint,arxiv-search,agricultural-vln-paper,trusted secondary
42,MonoDream: Monocular Vision-Language Navigation with Panoramic Dreaming,2025-08-04,arXiv preprint,arxiv-search,direct-vln-paper,trusted
43,SE-VLN: A Self-Evolving Vision-Language Navigation Framework Based on Multimodal Large Language Models,2025-07-17,arXiv preprint,targeted-audit,llm-era-paper,trusted
44,StreamVLN: Streaming Vision-and-Language Navigation via SlowFast Context Modeling,2025-07-07,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
45,View Invariant Learning for Vision-Language Navigation in Continuous Environments,2025-07-05,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
46,VLN-R1: Vision-Language Navigation via Reinforcement Fine-Tuning,2025-06-20,arXiv preprint,arxiv-search,llm-era-paper,trusted
47,Generating Vision-Language Navigation Instructions Incorporated Fine-Grained Alignment Annotations,2025-06-10,arXiv preprint,arxiv-search,data-centric-paper,trusted
48,Active Test-time Vision-Language Navigation,2025-06-07,arXiv preprint,arxiv-search,test-time-adaptation-paper,trusted
49,EvolveNav: Empowering LLM-Based Vision-Language Navigation via Self-Improving Embodied Reasoning,2025-06-02,arXiv preprint,arxiv-search,llm-era-paper,trusted
50,Unseen from Seen: Rewriting Observation-Instruction Using Foundation Models for Augmenting Vision-Language Navigation,2025-03-23,arXiv preprint,arxiv-search,data-centric-paper,trusted
51,Do Visual Imaginations Improve Vision-and-Language Navigation Agents?,2025-03-20,arXiv preprint,arxiv-search,analysis-paper,trusted
52,Fine-Grained Instruction-Guided Graph Reasoning for Vision-and-Language Navigation,2025-03-14,arXiv preprint,arxiv-search,graph-paper,trusted
53,PanoGen++: Domain-Adapted Text-Guided Panoramic Environment Generation for Vision-and-Language Navigation,2025-03-13,arXiv preprint,arxiv-search,data-centric-paper,trusted
54,Openfly: A comprehensive platform for aerial vision-language navigation,2025-02-25,arXiv preprint,arxiv-search,aerial-vln-paper,trusted secondary
55,MapNav: A Novel Memory Representation via Annotated Semantic Maps for Vision-and-Language Navigation,2025-02-19,arXiv preprint,arxiv-search,map-memory-paper,trusted
56,VL-Nav: Real-time Vision-Language Navigation with Spatial Reasoning,2025-02-02,arXiv preprint,arxiv-search,real-world-vln-paper,trusted secondary
57,General Scene Adaptation for Vision-and-Language Navigation,2025-01-29,arXiv preprint,arxiv-search,generalization-paper,trusted
58,Constraint-Aware Zero-Shot Vision-Language Navigation in Continuous Environments,2024-12-13,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
59,"Towards Long-Horizon Vision-Language Navigation: Platform, Benchmark and Method",2024-12-12,arXiv preprint,survey-citation,long-horizon-paper,trusted
60,doScenes: An Autonomous Driving Dataset with Natural Language Instruction for Human Interaction and Vision-Language Navigation,2024-12-08,arXiv preprint,arxiv-search,outdoor-benchmark-paper,trusted secondary
61,UnitedVLN: Generalizable Gaussian Splatting for Continuous Vision-Language Navigation,2024-11-25,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
62,Fine-Grained Alignment in Vision-and-Language Navigation through Bayesian Optimization,2024-11-22,arXiv preprint,arxiv-search,direct-vln-paper,trusted
63,Vision-Language Navigation with Energy-Based Policy,2024-10-18,arXiv preprint,arxiv-search,direct-vln-paper,trusted
64,Exploring Spatial Representation to Enhance LLM Reasoning in Aerial Vision-Language Navigation,2024-10-11,arXiv preprint,arxiv-search,aerial-vln-paper,trusted
65,"Towards Realistic UAV Vision-Language Navigation: Platform, Benchmark, and Methodology",2024-10-09,arXiv preprint,arxiv-search,uav-benchmark-paper,trusted
66,Navigating the Nuances: A Fine-grained Evaluation of Vision-Language Navigation,2024-09-25,arXiv preprint,arxiv-search,evaluation-paper,trusted
67,Seeing is Believing? Enhancing Vision-Language Navigation using Visual Perturbations,2024-09-09,arXiv preprint,arxiv-search,generalization-paper,trusted
68,Vision-Language Navigation with Continual Learning,2024-09-04,arXiv preprint,arxiv-search,continual-learning-paper,trusted
69,Cog-GA: A Large Language Models-based Generative Agent for Vision-Language Navigation in Continuous Environments,2024-09-04,arXiv preprint,arxiv-search,llm-era-paper,trusted
70,Loc4Plan: Locating Before Planning for Outdoor Vision and Language Navigation,2024-08-09,arXiv preprint,arxiv-search,outdoor-vln-paper,trusted
71,PRET: Planning with Directed Fidelity Trajectory for Vision and Language Navigation,2024-07-16,arXiv preprint,arxiv-search,direct-vln-paper,trusted
72,Vision-and-Language Navigation Today and Tomorrow: A Survey in the Era of Foundation Models,2024-07-09,arXiv preprint,survey-citation,survey,trusted
73,Affordances-Oriented Planning using Foundation Models for Continuous Vision-Language Navigation,2024-07-08,arXiv preprint,arxiv-search,foundation-model-paper,trusted
74,Why Only Text: Empowering Vision-and-Language Navigation with Multi-modal Prompts,2024-06-04,arXiv preprint,arxiv-search,llm-era-paper,trusted
75,Correctable Landmark Discovery via Large Models for Vision-Language Navigation,2024-05-29,arXiv preprint,arxiv-search,llm-era-paper,trusted
76,Vision-and-Language Navigation Generative Pretrained Transformer,2024-05-27,arXiv preprint,arxiv-search,llm-era-paper,trusted
77,Vision-and-Language Navigation via Causal Learning,2024-04-16,arXiv preprint,arxiv-search,direct-vln-paper,trusted
78,AIGeN: An Adversarial Approach for Instruction Generation in VLN,2024-04-15,CVPRW 2024,awesome-repo,data-centric-paper,trusted
79,DELAN: Dual-Level Alignment for Vision-and-Language Navigation by Cross-Modal Contrastive Learning,2024-04-02,LREC-COLING 2024,targeted-audit,direct-vln-paper,trusted
80,Continual Vision-and-Language Navigation,2024-03-22,arXiv preprint,arxiv-search,continual-learning-paper,trusted
81,Volumetric Environment Representation for Vision-Language Navigation,2024-03-21,arXiv preprint,arxiv-search,world-model-paper,trusted
82,Hierarchical Spatial Proximity Reasoning for Vision-and-Language Navigation,2024-03-18,arXiv preprint,arxiv-search,direct-vln-paper,trusted
83,VLN-Video: Utilizing Driving Videos for Outdoor Vision-and-Language Navigation,2024-02-05,arXiv preprint,arxiv-search,outdoor-vln-paper,trusted
84,NavHint: Vision and Language Navigation Agent with a Hint Generator,2024-02-04,arXiv preprint,arxiv-search,direct-vln-paper,trusted
85,WebVLN: Vision-and-Language Navigation on Websites,2023-12-25,arXiv preprint,arxiv-search,web-vln-paper,trusted secondary
86,Target-Grounded Graph-Aware Transformer for Aerial Vision-and-Dialog Navigation,2023-08-22,arXiv preprint,arxiv-search,aerial-dialog-paper,trusted
87,DREAMWALKER: Mental Planning for Continuous Vision-Language Navigation,2023-08-14,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
88,AerialVLN: Vision-and-Language Navigation for UAVs,2023-08-13,arXiv preprint,survey-citation,aerial-vln-paper,trusted
89,Bird's-Eye-View Scene Graph for Vision-Language Navigation,2023-08-09,arXiv preprint,arxiv-search,graph-paper,trusted
90,Scaling Data Generation in Vision-and-Language Navigation,2023-07-28,arXiv preprint,arxiv-search,data-centric-paper,trusted
91,GridMM: Grid Memory Map for Vision-and-Language Navigation,2023-07-24,arXiv preprint,arxiv-search,map-memory-paper,trusted
92,Learning Vision-and-Language Navigation from YouTube Videos,2023-07-22,arXiv preprint,arxiv-search,data-centric-paper,trusted
93,Behavioral Analysis of Vision-and-Language Navigation Agents,2023-07-20,arXiv preprint,arxiv-search,analysis-paper,trusted
94,PanoGen: Text-Conditioned Panoramic Environment Generation for Vision-and-Language Navigation,2023-05-30,arXiv preprint,survey-citation,llm-era-paper,trusted
95,NavGPT: Explicit Reasoning in Vision-and-Language Navigation with Large Language Models,2023-05-26,arXiv preprint,survey-citation,llm-era-paper,trusted
96,Masked Path Modeling for Vision-and-Language Navigation,2023-05-23,arXiv preprint,arxiv-search,pretraining-paper,trusted
